*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-28 18:16:51:337068,Child Name:,Child Name
2017-11-28 18:16:51:341431,On or OFF:,Face Tracking is OFF
2017-11-28 18:16:52:076934,On or OFF:,Face Tracking is ON
2017-11-28 18:16:53:081100,Robot State:,Introduce Nao Started
2017-11-28 18:16:55:954762,Robot State:,Introduce Nao Ended
2017-11-28 18:16:56:450597,On or OFF:,Face Tracking is OFF
2017-11-28 18:16:57:459875,Robot State:,Looking at The Book
2017-11-28 18:16:58:010878,Robot State:,TaskONE Selected
2017-11-28 18:16:59:040142,Robot State:,Looking at The Book
2017-11-28 18:16:59:563944,Current State of Reading: ,False
2017-11-28 18:16:59:570453,Current State of Reading: ,Waiting for Red-card
2017-11-28 18:17:01:132041,Robot State:,Reading Mode Started
2017-11-28 18:17:05:582198,Robot Hand Pose: ,"x: 0.193304210901
y: 0.109071098268
z: 0.225808009505
x: 0.0201472658664
y: 0.440531939268
z: -0.00641985051334
w: 1.0"
2017-11-28 18:17:05:583627,Current Word:,\rspd=80\  It
